sessionSchemaVersion,sessionId,domain,startTime,endTime,endReason,activeTimeSec,scrollCount,tabSwitchCount,revisitCount,revisitCountMode,stage,riskLevel,mode,ruleVersion,idleTimeoutMinUsed,provisionalLabel,provisionalScore,finalLabel,labelSource,labelConfidence,promptSkipped,stage2Choice,stage2ActionFailed,stage2FailReason,snoozeMinutes,breakTriggered,breakDurationSec,q1LongerThanIntended,q2HardToStop,labelTier,sampleWeight
3,97d5cbdb-bd52-4ded-9c45-8423cac9b566,jnovels.com,1771592612866,1771592790918,forced_end,36,0,1,12,daily_prior_visits,3,2,default,phase1_mode_v1,10,0,0.218,0,hybrid_skipped,rule_only,,snooze,false,,10,false,,,,weak,0.35
3,e54bb59f-3960-4fa7-8adf-1782b54579bb,github.com,1771592790921,1771592990868,forced_end,66,3,1,2,daily_prior_visits,0,0,default,phase1_mode_v1,10,0,0.0677,0,hybrid_skipped,rule_only,,,false,,,false,,,,weak,0.35
3,b6bfa786-7d3e-43f2-bf71-5b2d7577a910,chatgpt.com,1771592990872,1771592994777,forced_end,0,0,1,19,daily_prior_visits,2,1,default,phase1_mode_v1,10,0,0.21,0,hybrid_skipped,rule_only,,,false,,,false,,,,weak,0.35
3,2d530f3e-8945-40ec-8aee-5ebd0141bb74,chatgpt.com,1771592994781,1771592999096,forced_end,0,0,1,20,daily_prior_visits,2,1,default,phase1_mode_v1,10,0,0.21,0,hybrid_skipped,rule_only,,,false,,,false,,,,weak,0.35
